#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:41.03 aq:17.00 tex:470 mv:1944 misc:5962 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:41.03 aq:17.00 tex:0 mv:0 misc:424 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:41.03 aq:17.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:41.03 aq:17.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:41.03 aq:17.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:41.03 aq:17.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:41.03 aq:17.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:41.03 aq:17.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:41.03 aq:17.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:41.03 aq:21.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:41.03 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
